"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","696.451978962078","694.551165103112","664.650649283427","668.735484063874","678.986192364062","693.508783681308","693.109238322325","692.201053370563","678.987849456914","669.665540536176","636.502935700461","622.485629993026","606.063879728683","629.238659403219","643.087418641342","627.31471741929","631.359855754061","641.241172037427","659.796063598941","660.517213958858","628.581943379459","636.518901561533","612.15693401198","614.28052434822","622.319620309101","610.019227944214","608.596688850584","599.372081461706","585.540908067939","588.962750250377","568.192083165737","579.961578587522","568.382394434424","565.221624381903","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296.775874407339","304.427951285171","310.237726200519","307.131669709307","286.064633284506","282.983299671014","292.272462396708","299.030990047223","294.267060718761","298.153318993354","285.727961102961","289.298843787373","292.232246823521","297.034657057602","302.350205005538","312.44837525239","303.090831870168","300.481100964318","307.331990919556","295.915992412726","337.226124845362","359.081375300314","354.767951508859","356.662581712235","355.444802351067","337.509331262155","344.78502392167","335.317281503838","327.121986812164","344.602825359715","342.505826072746","352.333146681331","352.076952767888","344.391920786554","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","506.098906826107","501.1013958861","487.66526325083","489.171805015051","480.041934528091","462.901309096839","461.972430152265","456.938754911713","441.442113472347","448.260389267497","444.602070218801","447.53206518973","451.424932148885","468.046438436677","455.956720265372","415.699326392916","446.81877508588","471.692391849887","497.74359156548","530.447850489733","513.009364141594","511.996382247904","557.576958378178","538.494593402671","473.614661498509","543.360923983701","487.948973476526","481.000357792661","428.639910135522","444.183463637853","423.490503820708","430.74656947008","437.568543756493","448.870903352713","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","813.373801291643","572.755207711702","418.273208912166","412.351824377392","441.348009597146","417.034611074232","447.838930515247","384.584954066613","426.818906731072","576.974269147942","581.374748988005","598.228317118281","661.11795163205","649.35788110735","716.623145884767","721.077407396492","707.890606549635","680.948166186712","712.287869024953","734.057809949862","731.053397459356","766.894617514824","699.444897699178","826.01838486232","844.590080017958","803.987448070775","840.619363568519","894.466399568989","904.739774695665","908.317252679183","855.185594249541","914.732925521475","884.57221529163","888.463855695385","","",
"Andorra","AND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1094.41934827983","1108.51785100491","1192.65819613824","1235.3981809066","1273.88498098292","1271.62848128333","1286.57490828966","1306.90882086722","1301.93339538111","1283.12233182861","1309.46048834149","1385.81589863392","1424.19533089088","1410.0362744247","1434.80195463499","1502.79059781383","1543.33884249137","1573.21321390609","1648.77903569146","1688.75984256571","1749.86279596962","1758.99868950217","1794.70125350362","1767.28320371831","1825.45491669435","1827.00104583912","1835.66858638766","1848.35458959009","1824.51004716448","1804.372761765","1678.51011848785","1733.38722241099","1769.42432808562","1802.87198361075","","",
"United Arab Emirates","ARE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10740.8429217188","11690.0970198374","10562.8994380617","10572.6698308454","11178.3984813089","11360.9014709113","11250.1691193254","10941.7465226956","10375.285992572","9839.14403490257","8956.94929901911","11703.2751045514","10866.2518811768","10102.2168560285","9441.12715739602","9535.07550578601","9239.04144595382","8929.1273242532","9425.05532774732","9445.23902000287","8849.86287819387","8498.19879197847","8466.34602792332","8654.48549263775","9398.40039523838","9973.9828745403","10191.6184664294","8378.97733971587","8363.00928463633","8736.63609388178","8105.43812949633","8500.46410586578","8303.27667116047","9139.5423044996","","",
"Argentina","ARG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1351.48277612519","1385.38307033103","1407.27675440761","1432.607502841","1530.52760849222","1507.19847475089","1534.09177637667","1567.39444751302","1648.11263598533","1666.81862190168","1643.32131961789","1518.56737304195","1484.25701881625","1590.61721067918","1740.90890259945","1712.4320350003","1784.01669776279","1845.91422802344","1889.40923801554","1722.74402909882","1826.05112368849","1865.25736115683","1897.60983922809","1928.54922885127","1911.61727736839","1919.75859208058","1889.87018853289","1874.82963739464","1806.77623499039","1777.41507710553","1623.92450833523","1741.51377200597","1808.76021335553","1763.50879742948","1736.70249657787","",
"Armenia","ARM","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2170.25904717637","2248.45036449683","1156.52854495764","634.938401584258","409.762251524819","497.307222678528","543.248963246472","573.598498068918","591.114376781768","578.924652970815","625.503227341883","624.555471332605","586.440648432386","622.582881402385","661.929679898088","798.544180515189","818.274997390362","918.181612522836","973.21714524559","851.338387705143","815.62798698571","896.948023835655","982.442415313472","959.801682347684","1045.97511363021","1084.52062940136","1043.09797203416","1105.96696981707","1072.33682481147","1163.09284675689","1233.30455891532","1271.52805556324","1347.59055747413","1300.30532664528","","",
